手机屏幕截图文件,XML层级结构文件（可选）,设备名称,设备分辨率（可选）,诊断结果消息,生成的 ADB 点击脚本,处理后的截图,模板图片,timestamp
.gradio\flagged\手机屏幕截图文件\90284bb43a77c182ddbf\test-3.jpeg,.gradio\flagged\XML层级结构文件可选\4b26515ffc02498b6ff0\hierarchy-3.xml,172.25.13.8:5555,"(1440, 3120)","弹窗模版相似度匹配成功，跳过的坐标为: (546, 1797)","import subprocess;subprocess.run( ['adb', '-s', 172.25.13.8:5555, 'shell', 'input', 'tap', str(546), str(1797)],check=True)",,.gradio\flagged\模板图片\7a687f1cc9f96fe10900\image.webp,2025-04-08 11:44:40.252163
.gradio\flagged\手机屏幕截图文件\1377ba28f850b683c6fe\test-3.jpeg,.gradio\flagged\XML层级结构文件可选\3c549be0e7287a9962df\hierarchy-3.xml,172.25.13.8:5555,"(1440, 3120)","弹窗模版相似度匹配成功，跳过的坐标为: (546, 1797)","import subprocess;subprocess.run( ['adb', '-s', 172.25.13.8:5555, 'shell', 'input', 'tap', str(546), str(1797)],check=True)",,.gradio\flagged\模板图片\dfb792c34765b1abe923\image.webp,2025-04-08 11:44:42.628352
